userName,score,at,content
Han,2,2024-04-06 08:10:44,Baru daftar dan mengisi profil ada keharusan upload KTP. Padahal selama saya pakai aplikasi survei yang lain ngga pernah dimintai data KTP. Skip deh wkwkwk
Wawan Harteja,1,2024-04-04 08:03:08,Kecewa tiga kali eror survei diulang 3kali kecewa saya kecewa sekali gimana mau coba login saja tak bisa konyol. Apa yg survei login saja tak bisa eror perbaiki tu sistem. Apk deploper kalau mau di pakai oleh penguna
M. ya3ni,1,2024-04-02 21:48:30,"aplikasinya jelek,kalo mau mask berat, kalo ngisi survey walaupun udah sungguh2 dan lama banget, ujung ujungnya ditolak. lebih banyak ditolaknya,"
Silvester Willyago Baguna,1,2024-03-30 09:54:02,"Sudah beberapa bulan daftar ke aplikasi, cuma survei awal aja yang dapat bayaran setelag itu ndak ada survei yang muncul lagi. Rekomendasi aplikasi lain dong."
Fariel Ardiansah,2,2024-03-28 08:54:55,"kok setelah daftar ktp palah gak ada survei sama sekali🙂, udah 2 minggu"
Rudi Arto,4,2024-03-28 08:37:12,"Saya beri 4 bintang dulu, saya baru gabung aplikasi ini mudah di pahami, sukses selalu.."
David “Papa Chelsy” Siagian,5,2024-03-28 03:15:17,"Sebuah aplikasi survey berbayar yang sangat mumpuni, dan admin cs email yg sangat mendukung akan kesulitan utk memverifikasi data pemilik akun populix"
AIDI AGUSTIAWAN,1,2024-03-27 10:03:30,Study yang sudah habis masih nongol diberanda. Survey diklik langsung nolak. Ditambah lagi uang saya isi survei beberapa kali belum masuk sama sekali. Katanya paling lama 3 hari kerja. Gimana populix sekarang
Irdina Suhailanisa,1,2024-03-27 04:12:02,Kenapa populix suka keluar dari aplikasi sendiri dan sulit untuk masuk kembali?
Wibu nolep sejahtera,4,2024-03-26 11:49:34,"Ini kenapa ya,apk nya tiba"" salah server...tolong dibantu pihak yg terkait"
bang obet,1,2024-03-26 04:03:29,Untuk awal2 memang bagus ni apk... Tapi setelah narik duit yg pertama... Setiap survey selalu tidak sesuai... Kayanya cuma mau dapat hasil survei nya aja...
Ende Kurniawan,2,2024-03-22 04:41:32,"Study sering tiba tiba ilang,"
Ayu Rahayu,2,2024-03-21 02:39:51,ga bisa verifikasi KTP nya
Refi Puspita,5,2024-03-20 12:18:14,Aplikasi yang sangat membantu kita
syarif2207,1,2024-03-20 03:44:45,"Aplikasi kontoyyyy, surveynya ngambil data2 orang dengan janji2 dapat uang, setelah semua data didapatkan pengguna sudah gak bisa gunakan aplikasi ini lagi, masa gak bisa masuk aplikasi hanya minta update terus padahal sudah di update. Aplikasi pencuri data, hati2, saran sy jangan gunakan aplikasi ini. Jangan sampai data pribadi kita di salah gunakan oleh pihak yang tidak bertanggung jawab seperti vendor aplikasi sampah ini. Jika tidak ada perbaikan selama 2x24 jam maka sy akan laporkan"
nashrulloh muamaro,5,2024-03-19 04:37:07,Aplikasinya sangat bermanfaat banget
Ujang Riskiyadi,1,2024-03-19 01:04:59,"Sudah 4 kali ngga bisa claim reward studi mingguan karna setelah claim ngga muncul untuk studi mingguannya, kan sayang banget koinnya udah ngumpulin setiap minggu ehh yang 50 setiap minggu ngga dapet... Mohon untuk diperbaiki"
ellyna dhea,3,2024-03-18 15:43:11,"Udah garap survey separuh, eh tiba2 keluar sendiri cuma gara2 masah jaringan, ngulang dari awal lagi. Tolong diperbaiki lagi supaya bisa ngesave survey yang udah dikerjakan, kan sayang banget kalo harus ngulang dari awal."
Yoga Aryana,3,2024-03-18 08:21:39,"Studi nya lama banget munculnya , dah pgn belajar nih 😢"
Anggie Yunita,3,2024-03-17 06:16:40,"Ini Populix kenapa deh, perasaan akhir-akhir ini setiap dapat survey dan mau masuk buat ngerjain studynya mesti gagal terus. Padahal udah dicoba keluar masuk apk dan udah di update juga, tapi tetap sj gagal hingga akhirnya malah study nya penuh dan g bisa diambil😑 Mohon diperbaiki."
Semangat 45,3,2024-03-16 09:07:36,Data ktp susah untuk masuk
Zainal Abidin,1,2024-03-16 03:53:54,"Terimakasih kepada popolix ,saya sudah menghapus akun saya dengan beberapa alasan yaitu selama beberapa bulan menggunakan apk ini saya belum pernah reward hadia,misi selalu habis ,, penukaran hadiah selalu habis ,,dari pada buang2 Kouta mending aku hapus akun saya ,,,apk gak berguna👎👎"
Ahmad Barlian,1,2024-03-15 18:20:38,"Makin kesini Populix makin ngga jelas,isi survey 3 hari baru diproses,ujungnya ditolak,diawal seharusnya sistem langsung bisa mendeteksi sesuai kriteria apa tidak,bukan nunggu 3 hari,jatuhnya macam ujian,bukankah ini survey,logikanya apa pun jawaban kita ngga masalah asal sudah memenuhi kriteria dari segi usia,daerah,jenis kelamin atau pun lainnya,kedepannya agar ada perbaikan."
Hasan Aa,1,2024-03-15 17:33:56,"Sistem sekarang jelek banget, capek-capek isi survey ujungnya ditolak, macam ujian aja, padahal kita kn responden,klu memang ngga memenuhi kriteria seharusnya di awal sistem sudah mendeteksi dan langsung DITOLAK, klu sistem seperti sekarang kita macam ujian, klu ngga sesuai keinginan pemesan survey kita ditolak, seharusnya kan jawaban kita jadi bahan evaluasi mereka,namanya juga survey,SAYA HARAP ADA PERBAIKAN DAN PERUBAHAN,AGAR RESPONDEN TETAP SETIA, TQ"
Fazzira Putri,1,2024-03-15 17:15:29,"Sekarang sistem survey berbeda dengan sistem lama, sekarang isi survey dulu baru di proses,ujung-ujungnya ditolak,udah capek isi survey ujung-ujungnya ditolak,bukan survey namanya klu pendapat kita ditolak,klu memang ditolak dari awal aja ditolak bahwa ngga sesuai kriteria,kita kan responden bukan ujian, tolong dong di perbaiki,kayak survey sebelah,kita isi survey klu ngga sesuai langsung di tolak,kan bisa dibuat sistem mendeteksi jawaban kita sesuai apa tidak,thanks"
은나김,1,2024-03-15 10:39:08,"aku kira aku doang yg ngalamin akun keluar sendiri. ditambah loadingnya lama banget loh pdhl sinyal bagus. tolong ya pdhl srg loh minta update, eh pas di-update kok gini sih app nya. tolong bgt sih pdhl populix app survey paling bagus, tapi app nya ada aja kendala nya."
Wasti Natalia,2,2024-03-13 11:36:27,"Setahun baru kekumpul 50k Pas mau di tarik malah ke log out terus ga bisa log in lagi, padahal sinyal baik baik aja Buang buang waktu"
Miftahudin Anshor,1,2024-03-12 10:37:39,"Saya melakukan survei perkenalan sebanyak 5x , tpi tidak terhitung, terus tidak bisa melakukan Penukaran point, serta tdk bisa melakukan studi survei, kok gini"
Bagus Muhammad Naufal,4,2024-03-11 23:55:48,"apl bagus, lebih banyakin survey dan besarin reward aja"
Sulis Sulistyowati,4,2024-03-11 20:48:42,Aku ga dapet studi terus pdhl udh 2minggu main populix
Adul Sani,5,2024-03-11 13:17:48,Aplikasi ini memang lama ada survei tpi tetap membayar pengguna nya .hanya saja studi agak jarang di dapat.
Irma Ernii,5,2024-03-11 12:32:04,"Waa kenapa nih min lagi asyik isi poppol tpi tiba² logout terus juga minta update udah di update kenapa mau login lama bgt, padahal suka bgt sama apknya maaf min aku update penilaiannya :("
L2 Chanell,5,2024-03-11 04:25:29,Lumayan buat tmbahan
ila Ila,1,2024-03-10 17:29:49,"kecewa banget, akun tiba tiba ke log out sendiri, mau log in gabisa"
Tur Yati,3,2024-03-10 09:43:09,"Hallo ka, saya baru upgrade k versi terbaru tapi kenapa tidak bisa withdraw? Selalu saja error ketika tarik dana, mhon solusinya"
Dewa Segoro,1,2024-03-09 20:24:09,TOLONG HAPUS DATA SAYA .KENAPA HARUS UPLOD KTP SEGALA KAYAK PINJOL AJA DAN SETIAP KALI DIUPLOUD SLALU GAGAL LAPORANYA.JANGAN DISALAH GUNAKAN SAYA GAK AKAN TANGGUNF JAWAB JIKA SAYA TIDAK MELAKUKAN APA APA
ratex inter,5,2024-03-09 08:37:44,bagus respon baik cepat
Robiatul Mardiah,1,2024-03-08 10:17:53,"Setelah isi data pribadi dan isi semua soal kepribadian aplikasi nya langsung ga bisa di gunain server nya eror terus padahal pas baru download bisa"" aja ga ada eror. Hati-hati gays takutnya ngambil data kita aja"
Yogi Budiman,5,2024-03-08 08:31:32,Aplikasinya bagus sangat rekomen banget
Alisa Humairah,2,2024-03-07 12:12:22,"Kok setelah update jd error trus aplikasi nya, ngisi polling harian aj gak bisa, gak muncul di layar"
Odnom Rad,5,2024-03-06 18:54:55,sangat mudah dipahami dan terlihat jelas
Yuli Fitriasih,5,2024-03-06 09:27:28,Anggota baru nich...masih nikmatin prosesnya karena belum pernah tebus hadiah (newbie) Minta tolong untuk tim agar meningkatkan apk ini.. karena sebagai anggota baru saya sudah mengalami gangguan beberapa kali ketika hendak mengisi popPoll. Terima kasih
Siti Nurjannah,3,2024-03-06 06:11:20,"Aplikasi yang bagus, cukup mudah dan tidak perlu menunggu terlalu lama untuk menarik dana. Namun, seringkali tiba2 keluar dari akun dan harus login ulang. Untuk login membutuhkan waktu yg sangat lama dan seringkali tidak responsif. Mohon lebih ditingkatkan kualitasnya"
VM CHANEL,1,2024-03-05 11:12:33,Gara gara gak sengaja kepencet 2x saat penarikan wadidow sampai sekarang nilai reward nya 1x dulu awal2 blm punya utang 2x misal reward 5000 dptnya 10000 sekarang cuma 1x padahal utk nilai popscore nya msh 2x komplen ya sama aja percuma TDK membantu
Ismi Fauzia,3,2024-03-04 01:17:16,Sekarang ngisi survey beberapa kali tapi ditungguin beberapa hari uangnya gak masuk. Aplikasinya juga sering ke log out sendiri
Tosa 123,4,2024-03-03 15:03:04,Ko lama mendapatkan reward nya ya padahal popsl scorenya udah 100
Safe S,5,2024-03-03 07:00:31,Sangat menarik dn membntu
ditha meliana,4,2024-03-02 10:18:46,"Udah dapet studinya susah, jarang jarang dapet. Sekalinya dapet malah di tolak Mulu. Kalo gini gimana mau ke kumpul"
Salma Aini Safira,5,2024-03-02 00:59:59,"Aplikasinya kenapa ya , saya di suruh update tapi di play storenya ngga ada tombol update... Jadih aplikasinya belum bisa kebuka ..."
Utanoyukii,1,2024-03-01 12:10:05,"Makin diupgrade malah makin jelek, tolong perbaiki setiap menggunakan apk ini sering loading"
Eka Nurjanah,4,2024-02-29 18:28:59,Poin nya apa bisa ditukar jadi uang dana gak nih..
joe,1,2024-02-29 12:33:40,"minimal itu barang tukeran reset tiap hari,ini tiap mw tuker coin kehbisan barang mulu.. udh barang ny dikit,restock barang toko nya lama,dah main 1 thn,gk dpet"" apapun di menu cuan. dh cape ngisi studi harian"
dedesandi hexapratama,2,2024-02-29 01:08:33,"lemot bgt padahal sinyal bagus ram juga 4gb masih tersisa bnyak , tolongdi perbaiki bug dan system aplikasi y agar tidak lag dan lemot trimakasih"
Mei Widya M,2,2024-02-28 15:51:47,"Kenapa deh ni aplikasi jelek bgt. Kyk not responding gitu gk bisa dipencet2, pdhl sinyal bagus2 aja. Ngisi profil aja kyk bisa berpuluh menit muter doang, di pencet keluar gk bisa. Mau masuk ngisi data diri aja susah, smpai mati hidupin mode pesawat biar lancar ehh ternyata aplikasinya yg jelek. Apalgi verifikas no.hp, udh dimasukin no.hpnya, di kasih kodenya doang, gk ada tmpat masukin kodenya. perbaiki lah sistemnya, gimana gak rating apk jelek 😑"
Tika Yuniar,1,2024-02-28 12:39:22,"Aplikasi nya masih kurang oke, suka keluar dari dasbor dan harus masuk... Mending masuknya cepet mah lama loading sampe nunggu Berjam"""
Karlina 300300,3,2024-02-28 12:10:32,Loading nya lama banget buat masuk apk apalagi ngisi popoll dan study
farachdn,1,2024-02-28 06:35:23,"hbs mulu surveynya, gmn mau nukerin😭"
Safik Abdul11,4,2024-02-28 04:33:56,"Mantap, mudah d pahami"
Na Jaemin,2,2024-02-28 02:41:20,"aplikasinya bagus cuma skrng kok kl ngisi survey kadang uang nya ga masuk ya apalagi yang nominal nya gede, uang nya ga masuk' kirain hrs tunggu bbrapa hari tp ttp ga ada, tolong ya di perbaiki aplikasinya"
Mira Suryani,5,2024-02-27 00:09:45,"Aku baru pertama kali makai aplikasi ini, dan ternyata aplikasi ini sungguh real.👍"
Amar 94,5,2024-02-26 08:13:03,Mantap kembangkan lagi aplikasi lainnya 👍oke mudah kan mendapatkan uang nyata
Fauzi akhmad,5,2024-02-25 06:03:00,"aplikasi nya bagus , sudah lama menggunakan , tapi makin kesini reward studi nya sering gk masuk , hilang aja gitu gk ada keterangan studi dtolak atau apa"
Mercia Swen,5,2024-02-25 05:06:05,"Apk ny keren tp mengisi no rekening nya gak bisa pakai akun e wallet, soal ny aku nggk punya no rekening ,atau ada cara ny untuk menyambungkan ke akun e wallet, tolong dong min bisa nyambung ke akun e wallet dana terima kasih"
Taufik Hidayat,1,2024-02-24 13:38:48,Bangkrut kah populix? Tidak bisa masuk
widhie prabowo,1,2024-02-24 13:37:17,"Kenapa skrg gak bisa login, muter2 mulu gak bisa masuk."
Azky Wafi hasibuan,5,2024-02-24 00:18:37,Masih dicoba sih. Mudah mudahan bagus
Khoirul Anam,5,2024-02-23 22:38:17,Aplikasi rekomen. Puas pakainya
Andri Brian Saputra,4,2024-02-23 18:45:30,Jarang kebagian survey sebulan cuma dapet 1x itu juga kalo ga telat kalo telat yasalam gabisa ikutan
Safriansyah,5,2024-02-23 09:41:14,"Bagus, sayangnya sih gk ada notifikasi ada barang baru di popmart, pas dibuka pagi gk ada, pas siang balik lg eh udh sold out. Mana yang disisain butuh poin banyak, dan pas udh terkumpul sold out lg 🔥"
Jeje Xaveria,1,2024-02-22 22:22:35,"Tlg difix apl nya, 3 hari ini gk bs dibuka selalu force close, klu ada bug cpt difix klu gk unisnstall apl aj lah."
Tala Seta,5,2024-02-22 15:56:55,Beberapa Minggu ini aplikasi sering Buferring atau Eror susah di akses koneksi internet baik Gimana apakah Populasi Sever sudah lebih dari batas Adakah solusi lain agar mudah
Indra Herdhani,1,2024-02-22 09:20:37,"Pndaftaran sesuai arahan E-KTP, e-mail, no HP & alamat supaya akun terdaftar. Ikuti study & polling poin sudah trkumpul saat pnukaran di popmart tukar saldo populix diarahkan download allobank setelah di download daftar ada info akun harus valid pada hal sudah trverifikasi semua sampai menunggu 7 - 14 hari kerja. Yang salut harus ada limit saldo dulu di Allo bank. Ditanya sesuai keluhan ke customer hanya dilihat/dibaca. Maksudnya apa kah ini cuma mempermainkan user saja??? Mf di uninstall 🙏"
Lisa Rahmaniar,1,2024-02-22 09:18:38,tidak bisa masuk ke populix sama sekali
Sepri Adi,4,2024-02-22 08:38:24,Kenapa aplikasinya di-update malah banyak masalah selalu keluar dengan sendirinya
Gayatri abhyaksa,3,2024-02-22 06:54:38,GK seperti dulu cepet verifikasi nya skrg lama bahkan berbulan bulan banyak survey saya udah 2 bulan masih belum d verifikasi..reward ny GK ada
Ishvalt,1,2024-02-22 05:02:50,Jaringan menjadi buruk saat sedang akses aplikasi ini dan untuk daftar tolong jngn dipersulit dong itu upload ktp masa gk bisa terus kacau kacau
Dwi Arimby,1,2024-02-21 17:37:02,maaf aku susah banget buat verifikasi ktp atau nomer padahal aku blm pernah install apk ini udah ditungguin tapi malah log out sendiri gjlsss
Nur Annizah,2,2024-02-21 16:31:40,"Kesel sm nih aplikasi, dulu bagus sekarang setiap sdh isi tugas , tugas di proses laama bet bahkan tdk ter selesaikan perosesnya"
Fadil Ramadhani,4,2024-02-21 06:22:04,Apk nya enak gak ada iklan coba coba dulu
Hasnita Hasnita,1,2024-02-20 03:50:39,loading terus pdahal jaringan aku bagus kok trs tiba2 keluar sendiri bikin emosi ajah
ferry guntoro,5,2024-02-19 00:36:00,Saya nggak bisa login min di menu awal loading terus muter muter
Nafis,2,2024-02-18 18:13:29,"Gabisa daftar/login.. tiap mau login selalu keluar pemberitahuan ""terjadi masalah pada jaringan"" padahal wifi nya aman aman saja dan saya coba segala cara tetap gabisa selalu bermasalah pada jaringan. Lol"
Wong Xiauhu,4,2024-02-18 16:20:46,Aplikasi nya koq error Mulu??saya jadi tidak bisa isi survey
Nova Aldianto,2,2024-02-18 11:40:58,Sinyal saya bagus wifi saya juga bagus tapi kok dibuat daftar jaringan anda kurang bagus
El-Habru Robie_24,1,2024-02-18 09:00:38,"Aplikasi sangat membagongkan, jangan di download 😠😠😠"
Bernardus Meicky Rudi Setiawan,2,2024-02-17 13:00:40,Beberapa hari ini tidak bisa masuk akun ke Populix via aplikasi. Mengapa ya ?
Nur Afni,4,2024-02-17 05:14:30,Tiap selesai ngisi survey hilang entah kemana gak ada pemberitauan apa apa dan saldo juga gak bertambah dah 4 kali seperti ini
Saka Kristiant,2,2024-02-16 17:14:14,"Sekarang lebih jarang kebagian studi. sekalinya kebagian dan sudah ngisi sampai selesai, eeehh....saldo reward tidak nambah..😔😔"
Namira Afifara,1,2024-02-16 12:30:34,aplikasi jelek bgt setiap mau ngisi survey gak ada koneksi saya udh instal setahunan gtu terus setiap mau isi gak ada jaringan !!!!
Wulan Rendyka,5,2024-02-14 18:55:00,"Hallo populix ... Keren banget , udah pakai aplikasi ini dari 2019. Ada kekurangan nih , Kenapa makin lama akun saya jarang dapat misi atau survey yaa ??"
Aak Ponsel,1,2024-02-13 18:58:03,Pas daftar lelet banget capek nunggu ya udh pake akun google pun tetap ga bisa terbuka
Movieqween,3,2024-02-13 11:57:41,"Diawal pake populix enak banget, banyak dapat survey terus belum pernah hasil survey di tolak, tapi setelah beberapa bulan terakhir ini udah jarang banget dapat survey, sekalinya dapat yg bayaranya ribuan rupiah, udah di isi udah ngabisin waktu dari 5 menit smpe 30 menitan tapi endingnya survey gk menghasilkan apa-apa dan itu bukan sekali dua kali, sedangkan kalau survey yg bayaranya 500 / 600 perak di approve. Ditambah aplikasi log out sendiri terus, minta upgrade trus sma appsny jd berat."
Mohamad Yhoni Dwikurniansyah,3,2024-02-13 06:40:50,"Sudah berhasil 4x wd dan terbukti masuk dananya, meskipun dari ke hari semakin sulit dapat survey. Ada kesempatan survey yang ada kuotanya, malah sekarang tidak bisa diklik. Auto uninstall kalau seperti ini. Karena tidak ada penjelasan dari developer kenapa ini terjadi."
Arvell Steinberg,1,2024-02-12 04:11:03,"Tolong isi survey dengan JUJUR. Baru saja saya isi tèrnyata ditolak. Kenapa? Saya udh menjawab dengan jujur, ini yg melakukan riset manusia, setan atau both?? Orang sudah menjawab jujur masih saja, gobblokk nya gede banget ni aplikasi, kl kriteŕianya seperti itu udah saja kalian minta riset sama robot, biar jawabannya bisa disesuaikan..Tollolllll, annnyyiiinnggg"
Ali Panungkas,5,2024-02-11 10:14:26,"Kalo bisa ada hadiah e walletnya min, yg nominal 10k-100k."
Maya Nurtamaya,3,2024-02-11 04:15:34,"Bulan lahir ga bisa diganti ,stelang upload KTP mlh ga sesuai ga terbaca jg ,bntuanya dong min tolong divalidasi,nanti udh kalo bisa full bintang"
Atty Atty,1,2024-02-10 08:05:29,Kenapa populix tidak bisa d buka sudahh beberapa hari inii ..
Debri Wim Saputra,5,2024-02-10 02:36:21,"Merindukan konsistensi Populix yang dahulu sebagai aplikasi survey terbaik. Berbeda jauh dengan sekarang yang semua drastis menurun, bahkan hampir tidak ada aktivitas sama sekali. Sangat disayangkan ! Semoga Populix bisa kembali bertumbuh seperti dulu"
Fauzan Fazrudin,2,2024-02-07 13:01:56,Aplikasinya bagus cuman sekarang oas masuk minta update padahal sudah d update
Ninik Aryanie,5,2024-02-07 01:18:37,"Aplikasi Ok, Mudah di gunakan, membantu, bermanfaat, tolong tingkatkan kemudahan jgn eror eror yaa!"
Nofia Mangi,5,2024-02-06 06:46:09,"Mantap.. selain bisa mendapatkan uang juga kita bisa menukarkan poin dgn barang yg tersedia di popmart,mantap banget pokoknya👍👍👍"
EkoWong Tani Lampung,3,2024-02-06 01:56:15,"Masih tahap mencoba,kalau bagus dan benar menghasilkan .fulll bintang"
Febryn Ababiel,1,2024-02-05 15:01:17,gajelas udah dari lama pas masuk home screen nya loading mulu padahal sinyal aman 🤬
Rasihan Kuntiarso,5,2024-02-05 12:54:21,sangat berguna untuk mengisi waktu luang yg bermanfaat
Widya Putri,4,2024-02-05 06:37:45,"Padahal setiap hari rajin buka apk nya tapi tiba tiba suka log out sendiri. Dan pas mau log in nya susah, lama, loading mulu. Akhirnya ku uninstal terus instal ulang lagi. Baru bisa log in lagi deh 🙃"
Agungguntara122 Agungg,1,2024-02-04 13:10:08,Aplikasi apaan verifikasi gagal terus jaringan bagus verifikasi sesuai ikuti yang ada di arahan masih tetep aja gagal
Sammy Samm,3,2024-02-04 02:30:16,"Sementara Letjen dulu, kalau sy suda dapat poin banyak baru jenderal besar.. Aplikasi yang lumayan bagus."
Za “Kiky D” Ki,5,2024-02-02 23:48:38,"Aplikasi nya bagus, saya harap tugasnya lebih banyak lagi."
memae game,1,2024-02-02 21:29:59,Survei jelek tidak pernah dapatkan survei apapun
Galih Yuliandri,5,2024-02-02 02:48:12,"Apk ini sangat bagus dan bermanfaat bagi penggunanya. Fitur-fitur yang disediakan sangatlah lengkap dan dapat memenuhi kebutuhan pengguna. Selain itu, tampilan interface yang user-friendly membuat penggunaan apk ini menjadi lebih mudah dan nyaman."
Laela Uf,3,2024-02-01 17:48:24,"Setelah di perbarui kenapa ga bisa ngerjain misi ya, server gagal terus padahal ni aplikasi lumayan buat nambah uang jajan🥲"
